2026-01-09 22:54:38,493 | root | INFO | Cogs loaded!
2026-01-09 22:54:38,493 | disnake.client | INFO | logging in using static token
2026-01-09 22:54:39,601 | disnake.gateway | INFO | Shard ID None has sent the IDENTIFY payload.
2026-01-09 22:54:39,931 | disnake.gateway | INFO | Shard ID None has connected to Gateway: ["gateway-prd-arm-us-east1-c-vwcl",{"micros":103952,"calls":["id_created",{"micros":713,"calls":[]},"session_lookup_time",{"micros":262,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-53",{"micros":102613,"calls":["start_session",{"micros":87912,"calls":["discord-api-rpc-58fc68bf44-plmq8",{"micros":46549,"calls":["get_user",{"micros":7035},"get_guilds",{"micros":3184},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":15},"pending_payments",{"micros":534},"apex_experiments",{"micros":33794},"user_activities",{"micros":7},"played_application_ids",{"micros":4},"linked_users",{"micros":4}]}]},"starting_guild_connect",{"micros":30,"calls":[]},"presence_started",{"micros":7730,"calls":[]},"guilds_started",{"micros":85,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":6783,"calls":[]},"connect_finished",{"micros":6799,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}] (Session ID: b5970034ad10815f983e8b122270abff, Resume URL: wss://gateway-us-east1-c.discord.gg).
2026-01-09 22:54:41,960 | root | INFO | Bot is ready!
2026-01-09 22:54:41,966 | methods.settings | INFO | Connection pool inititalized
2026-01-09 22:54:41,975 | methods.settings | INFO | Connection pool inititalized
2026-01-09 22:54:41,975 | methods.settings | INFO | Connection pool inititalized
2026-01-09 22:54:41,975 | cogs.shop | INFO | Connection pool inited
2026-01-09 22:55:19,894 | views.createRoleView | ERROR | Callback creation function error: This interaction hasn't been responded to yet
2026-01-09 23:00:46,802 | disnake.client | INFO | Received signal to terminate bot and event loop.
2026-01-09 23:00:46,802 | disnake.client | INFO | Cleaning up tasks.
2026-01-09 23:00:46,802 | disnake.client | INFO | Cleaning up after 1 tasks.
2026-01-09 23:00:46,940 | disnake.client | INFO | Closing the event loop.
2026-01-09 23:00:56,069 | root | INFO | Cogs loaded!
2026-01-09 23:00:56,069 | disnake.client | INFO | logging in using static token
2026-01-09 23:00:57,173 | disnake.gateway | INFO | Shard ID None has sent the IDENTIFY payload.
